ja,en
"面白いパーティーハットを追加 🥳","Add a funny party hat"
"カートゥーン風の絵にする 🎨","Make it a cartoon drawing"
"キラキラで囲む ✨","Surround it with sparkles"
"隣にかわいい子犬を追加 🐶","Add a cute puppy next to it"
"背景をビーチに変える 🏖️","Change the background to a beach"
"サングラスをかける 😎","Give it sunglasses"
"リアルな人物ポートレートに","Generate a realistic human portrait with high resolution and natural light"
"幻想的なファンタジー風景に","Create a fantastical fantasy landscape with fog and magical effects"
"サイバーパンクな都市の夜景に","Create a cyberpunk city night view full of neon and gadgets"
"柔らかな水彩タッチの花の絵に","Create a soft watercolor-style flower illustration with pale colors"
"アニメ風の美少女キャラクターに","Design a beautiful girl character in anime style with large eyes and pop colors"
"油絵風の静物画に","Create an oil painting-style still life with baroque-style fruits and a vase"
"鉛筆スケッチ風のモノクロに","Create a pencil sketch-style monochrome portrait with emphasized shading"
"長時間露光した夜景写真風に","Create a long-exposure night photography style city with light trails"
"ミニマルなフラットアイコンに","Create minimal flat icons with simple geometric shapes"
"レトロな映画ポスター風に","Create a retro vintage movie poster with sepia tones and typography"
"宇宙の星雲と銀河を描く","Create outer space nebulae and galaxies with blue and purple gradients"
"カラフルなサンゴ礁の海に","Create a realistic and colorful coral reef underwater scene"
"ファッション誌のモデル風に","Create a fashion magazine-style model photo in street style"
"RPGゲームのキャラクター風に","Create an RPG game-style character portrait with decorative armor"
"美味しそうな料理の写真に","Create a delicious-looking food close-up photo from a top-down angle"
"近未来のメカロボットを追加","Create a futuristic mecha robot with a metallic texture and LED effects"
"マクロ撮影した花びらのように","Create a macro photography-style shot of petal details with a blurred background"
"スチームパンクな歯車を追加","Create a steampunk gear mechanism with an antique bronze tone"
"ミニチュアジオラマ風の村に","Create a miniature diorama-style model of a village with warm lighting"
"抽象的なアート作品に","Create abstract art with a combination of vivid colors and fluid shapes"
